VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
GASTEC 8La test tubes Chlorine range 0.1-16 ppm - box 10 pcs.,#05471,331657,38.25
KITAGAWA 109SB test tubes Chlorine range 0.5-10 ppm - box 10 pcs.,#22578,331657,71
KITAGAWA 152S test tubes Chloroform range 23-500 ppm - box 10 pcs.,#04727,331658,71
KITAGAWA 122SA test tubes Ethylene oxide range 0.01 - 4% - box 10 pcs.,#02401,331659,71
KITAGAWA 112SB test tubes Hydrogen Cyanide range 0.5-100 ppm - box 10 pcs.,#07718,331661,71
KITAGAWA 156S test tubes Hydrogen Fluoride range 0.17-30 ppm - box 10 pcs.,#10667,331662,71
KITAGAWA 120SB test tubes Hydrogen Sulphide range 0.75-300 ppm - box 10 pcs.,#01779,331664,71
GASTEC 111 test tubes Methanol range 0.002-4.5%  - box 10 pcs.,#07933,331665,38.25
KITAGAWA 119SA test tubes Methanol range 0.05-6.0% VOL - box 10 pcs.,#11549,331665,71
KITAGAWA 233S test tubes Nitric Acid range 0-20 ppm - box 10 pcs.,#13513,331667,71
KITAGAWA 174A test tubes Nitrogen Oxide/Dioxide range 1-300 ppm - box 5 pcs.,#09288,331668,71
KITAGAWA 146S test tubes Phosgene range 0.5-20 ppm - box 10 pcs.,#14797,331669,71
GASTEC 5LA test tubes Sulphur Dioxide range 0.5-60 ppm - box 10 pcs.,#03840,331670,38.25
KITAGAWA 103SD test tubes Sulphur Dioxide range 1-60 ppm - box 10 pcs.,#06773,331670,71
GASTEC 122DL test tubes Toluene range 2-500 ppm - box 10 pcs.,#03468,331671,41.65
KITAGAWA 124SA test tubes Toluene range 10-500 ppm - box 10 pcs.,#04728,331671,71
GASTEC 2HH test tubes Carbon Dioxide range 5-40% VOL - box 10 pcs.,#07163,331673,38.25
GASTEC 70 test tubes Mercaptans range 0.5-120 ppm - box 10 pcs.,#02697,331674,38.25
GASTEC 45H test tubes Hydrogen Sulphide & Sulphur dioxide range 0.02-8%  - box 10 pcs.,#06823,331675,38.25
GASTEC 1LK test tubes Carbon Monoxide range 5-600 ppm - box 10 pcs.,#03901,331676,38.25
GASTEC 31B test tubes Oxygen range 3-24% VOL - box 5 pcs.,#03886,331677,38.25
GASTEC 121SP test tubes Benzene range 0.2-66 ppm - box 10 pcs.,#03272,331678,38.25
GASTEC 5LC test tubes Sulphur Dioxide range 0.1-25 ppm - box 10 pcs.,#05427,331679,38.25
GASTEC 122 test tubes Toluene range 5-690 ppm - box 10 pcs.,#04105,331680,38.25
GASTEC 3LA test tubes Ammonia range 2.5-200 ppm - box 10 pcs.,#05180,331681,38.25
GASTEC 103 test tubes Hydrocarbons range 0.05-2.4% VOL - box 10 pcs.,#03888,331682,38.25
GASTEC 9D test tubes Nitrogen Dioxide range 0.1-30 ppm - box 10 pcs.,#26154,331683,38.25
MSA 5085-810 test tubes Qualitest box 10 pcs. ,#04958,331685,44.47
GASTEC 10 test tubes Nitrogen Oxide (NO & NO2) range 5-200 ppm - box 10 pcs.,#05429,331686,38.25
GASTEC 60 test tubes Phenol/Naphtalene range Phenol 0.2-183 ppm/Naphtalene 0.5-14 ppm  - box 10 pcs.,#05137,331687,38.25
GASTEC 7LA test tubes Phosphine range 0.05 -9.8 ppm - box 10 pcs.,#08337,331688,38.25
GASTEC 124 test tubes Styrene range 1-1500 ppm - box 10 pcs.,#04836,331689,38.25
GASTEC 131LA test tubes Vinyl Chloride range 0.25-54 ppm - box 10 pcs.,#03726,331690,38.25
GASTEC 12L test tubes Hydrogen Cyanide range 0.5-150 ppm - box 10 pcs.,#06305,331692,38.25
GASTEC 14L test tubes Hydrogen Chloride range 0.2-76 ppm - box 10 pcs.,#12998,331693,38.25
GASTEC 17 test tubes Hydrogen Fluoride range 1.25-50 ppm - box 10 pcs.,#08952,331694,38.25
GASTEC 16 test tubes Phosgene range 0.05-20 ppm - box 10 pcs.,#16970,331695,38.25
GASTEC 137 test tubes Chloroform range 4-400 ppm - box 10 pcs.,#05877,331696,38.25
GASTEC 101 test tubes Gasoline range 0.015-0.03%  - box 10 pcs.,#03822,331698,38.25
GASTEC 35 test tubes Sulphuric Acid range 0.5-5 mg/m3 - box 10 pcs.,#05470,331699,38.25
GASTEC 15L test tubes Nitric Acid range 0.1-40 ppm - box 10 pcs.,#06612,333801,38.25
GASTEC 70L test tubes Mercaptans range 0.16-12.8 ppm - box 10 pcs.,#02740,333802,38.25
GASTEC 136L test tubes Methyl Bromide range 2.5-200 ppm - box 10 pcs.,#05472,333803,38.25
GASTEC 81 test tubes Acetic Acid range 1-100 ppm - box 10 pcs.,#07832,333804,38.25
GASTEC 151L test tubes Acetone range 50-12000 ppm - box 10 pcs.,#04833,333805,38.25
GASTEC 112 test tubes Ethanol range 0.01-7.5% VOL - box 10 pcs.,#04484,333806,38.25
GASTEC 163LL test tubes Ethylene Oxide range 0.1-10 ppm - box 10 pcs.,#14365,333807,38.25
GASTEC 171 test tubes Acetylene range 0.05-4% VOL - box 10 pcs.,#12989,333808,38.25
MSA 7000-003 test tubes Hydrogen Sulphide box 10 pcs. range 0.2-7% VOL,#04957,333809,72.89
GASTEC 1LL test tubes Carbon Monoxide range 5-50 ppm - box 10 pcs.,#04037,333811,38.25
KITAGAWA 106SC test tubes Carbon Monoxide range 1-50 ppm - box 10 pcs.,#07179,333811,71
GASTEC 121SL test tubes Benzene range 1-100 ppm - box 10 pcs.,#04346,333812,38.25
KITAGAWA 118SC test tubes Benzene range 1-100 ppm - box 10 pcs.,#02587,333812,71
GASTEC 121L test tubes Benzene range 0.1-65 ppm - box 10 pcs for 5 measurements,#02690,333813,38.25
KITAGAWA 118SD test tubes Benzene range 0.02-75 ppm - box 5 pcs.,#02954,333813,71
KITAGAWA 120SD test tubes Hydrogen Sulphide range 1-60 ppm - box 10 pcs.,#01780,333814,71
KITAGAWA 120SF test tubes Hydrogen Sulphide range 25-2000 ppm - box 10 pcs.,#01708,333815,71
GASTEC 2H test tubes Carbon Dioxide range 0.5-20% VOL - box 10 pcs.,#03320,333817,38.25
KITAGAWA 126SH test tubes Carbon Dioxide range 0.1-20% VOL - box 10 pcs.,#07402,333817,71
GASTEC 131 test tubes Vinyl Chloride range 0.025-2 % VOL -  box 10 pcs.,#12943,333818,38.25
KITAGAWA 132SA test tubes Vinyl Chloride range 0.05-1% VOL - box 10 pcs.,#06016,333818,71
"Coupler, quick-connect 20 SH 1/4"" - steel ",4600,351201,1.83
