VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
"Indicator paper, red, size 113 x 55 mm., block 50 sheets ",1502,652657,6.38
"Indicator paper, red, size 115 x 35 mm., block 50 sheets ",1497,652659,3.15
Indicator cord 5 mtr. ,1496,652660,13.13
"Crankshaft deflection indicator, range 60-500 mm. complete with extension shafts in wooden protection case",320,652670,246.75
"Crankshaft deflection indicator, range 100-500 mm. complete with extension shafts in wooden protection case",320,652670,90.75
"Crankshaft deflection indicator, range 60-500 mm. complete with extension shafts in wooden protection case",00320+_S,652670,123.75
"Vibration pen TV200, velocity range 0.01mm - 199.9 mm/s (RMS) - frequency 10Hz. - 1.000Hz. ",3057,652671,296.25
Inspection mirror 55 mm. telescopic 171-710 mm. ,382,652703,6.75
"Inspection mirror, illuminated, with flexible handle 400 mm. ",#14028,652704,69.38
"Inspection mirror, illuminated, with telescopic shaft 200-900 mm ",478,652707,11.25
"Inspection mirror, illuminated, with telescopic shaft 285-870 mm ",478,652707,12
Probelight in case type VIP-3 L= 75 mm. ,477,652711,217.5
"Background : Ferro and non-ferro""",381,652722,138.75
"Set of plates (NF/FE)""",#25488,652722,311
"Ultrasonic thickness gauge model TM-8812, range 1,2-200 mm. Accuracy +/- 0,5%H + 0.1 mm. H=reading",648,652735,363.75
"Ultrasonic thickness gauge, range 1,00-225,0 mm. - Velocity 1000-9999 m/s Accuracy +/- 1%H + 0.1 mm. H=reading",648,652735,123.75
Cable break position locator ,3056,652750,24.38
"Automatic shutdown time : 12 minutes""",3310,652755,185
"Ultrasonic liquid level indicator with standard hand held transducer, rod length 190 mm. ",4060,652775,1421.25
"Ultrasonic liquid level indicator with extendable hand held transducer, rod length 190-600 mm. ",4061,652775,1421.25
Ultrasonic liquid level indicator with adjustable extension rod for marine application ,4062,652775,1571.25
PORTASCANNER II ultrasonic watertight integrity tester ,3329,652778,3525
"Supply voltage 220V 50/60Hz.""",#10077,652801,1124.25
"with auto shut-off""",154,652901,51
VOLTCRAFT SL-10 digital sound meter 30-130 dB 31.5 Hz-8 kHz ,#09289,652901,49.95
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-1 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080509GL3/8_S,653001,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-1 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075509GL3/8,653001,15.75
"Pressure gauge 75 mm. round rim (B), range 0-1 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075509B/GL3/8,653001,9.49
"Pressure gauge 75 mm. round rim (B), range 0-1 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075509B/GL3/8_S,653001,9.49
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-2.5 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080511GL3/8_S,653003,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-2.5 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075511GL3/8,653003,15.75
"Pressure gauge 75 mm. round rim (B), range 0-2.5 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075511B/GL3/8_S,653003,9.49
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-4 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080512GL3/8_S,653006,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-4 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075512GL3/8,653006,15.75
"Pressure gauge 75 mm. round rim (B), range 0-4 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075512B/GL3/8,653006,9.49
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-6 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080513GL3/8_S,653008,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-6 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075513GL3/8,653008,15.75
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-6 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075513GL3/8_S,653008,15.75
"Pressure gauge 75 mm. round rim (B), range 0-6 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075513B/GL3/8,653008,9.49
"Pressure gauge 75 mm. round rim (B), range 0-6 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075513B/GL3/8_S,653008,9.49
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-10 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080514GL3/8_S,653010,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-10 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075514GL3/8,653010,15.75
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-10 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075514GL3/8_S,653010,15.75
"Pressure gauge 75 mm. round rim (B), range 0-10 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075514B/GL3/8,653010,9.49
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-16 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080515GL3/8_S,653011,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-16 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075515GL3/8,653011,15.75
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-16 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075515GL3/8_S,653011,15.75
"Pressure gauge 75 mm. round rim (B), range 0-16 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075515B/GL3/8,653011,9.49
"Pressure gauge 75 mm. round rim (B), range 0-16 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075515B/GL3/8_S,653011,9.49
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-25 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080516GL3/8_S,653013,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-25 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075516GL3/8,653013,15.75
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-25 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075516GL3/8_S,653013,15.75
"Pressure gauge 75 mm. round rim (B), range 0-25 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075516B/GL3/8,653013,9.49
"MANODRUCK pressure gauge 80 mm. round rim (B), range 0-40 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080517GL3/8_S,653015,22.43
"MANODRUCK pressure gauge 75 mm. round rim (B), range 0-40 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075517GL3/8,653015,15.75
"Pressure gauge 75 mm. round rim (B), range 0-40 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075517B/GL3/8,653015,9.49
"Pressure gauge 75 mm. round rim (B), range 0-40 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075517B/GL3/8_S,653015,9.49
"(alt. 213.50.063)""",063511A,653017,11.4
"(alt. 213.53.063)""",63511,653017,10.13
"Pressure gauge 63 mm. round rim (B), range 0-2.5 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063511B,653017,4.5
"stainless steel casing - brass internals""",063512_S,653020,10.13
"stainless steel casing - brass internals""",063513_S,653022,10.13
"stainless steel casing - brass internals""",063514_S,653024,10.13
"stainless steel casing - brass internals""",063515_S,653025,10.13
"stainless steel casing - brass internals""",063516_S,653027,10.13
"stainless steel casing - brass internals""",063517_S,653029,10.13
"(alt. 213.50.063)""",063209A,653031,10.13
"(alt. 213.53.063)""",63209,653031,9
"Pressure gauge 63 mm. rimless (A), range 0-1 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063209B,653031,3.98
"(alt. 213.50.063)""",063211A,653033,10.13
"(alt. 213.53.063)""",63211,653033,9
"Pressure gauge 63 mm. rimless (A), range 0-2.5 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063211B,653033,3.98
"stainless steel casing - brass internals""",063212_S,653036,9
"stainless steel casing - brass internals""",063213_S,653038,9
"stainless steel casing - brass internals""",063214_S,653040,9
"stainless steel casing - brass internals""",063215_S,653041,9
"stainless steel casing - brass internals""",063216_S,653043,9
"stainless steel casing - brass internals""",063217_S,653045,9
"stainless steel casing - brass internals""",075211GL1/2,653047,15.23
"stainless steel casing - brass internals""",075211GL1/2_S,653047,13.8
"stainless steel casing - brass internals""",075211B/GL1/2,653047,8.85
"stainless steel casing - brass internals""",075211B/GL1/2_S,653047,8.85
"stainless steel casing - brass internals""",075212GL_S,653050,13.8
"stainless steel casing - brass internals""",075213GL_S,653052,13.8
"stainless steel casing - brass internals""",075214GL_S,653054,12.51
"stainless steel casing - brass internals""",075215GL_S,653055,13.8
"stainless steel casing - brass internals""",075216GL_S,653057,13.8
"stainless steel casing - brass internals""",075217GL_S,653059,13.8
"stainless steel casing - brass internals""",075211GL3/8_S,6530621,15.23
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-2.5 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080211GL3/8_S,653062,19.5
"stainless steel casing - brass internals""",075211GL3/8,653062,15.23
"stainless steel casing - brass internals""",075211B/GL3/8_S,653062,8.48
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-4 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080212GL3/8_S,653065,19.5
"stainless steel casing - brass internals""",075212GL3/8,653065,15.23
"stainless steel casing - brass internals""",075212GL3/8_S,653065,15.23
"stainless steel casing - brass internals""",075212B/GL3/8,653065,8.48
"stainless steel casing - brass internals""",075212B/GL3/8_S,653065,8.48
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-6 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080213GL3/8_S,653067,19.5
"stainless steel casing - brass internals""",075213GL3/8,653067,15.23
"stainless steel casing - brass internals""",075213GL3/8_S,653067,15.23
"Pressure gauge 75 mm. rimless (A), range 0-6 bar, bottom connection 3/8"" BSP glycerine filled - stainless steel casing, brass internals",075213B/GL3/8,653067,8.48
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-10 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080214GL3/8_S,653069,19.5
"stainless steel casing - brass internals""",075214GL3/8,653069,15.23
"stainless steel casing - brass internals""",075214GL3/8_S,653069,15.23
"stainless steel casing - brass internals""",075214B/GL3/8,653069,8.48
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-16 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080215GL3/8_S,653070,19.5
"stainless steel casing - brass internals""",075215GL3/8,653070,15.23
"stainless steel casing - brass internals""",075215GL3/8_S,653070,15.23
"stainless steel casing - brass internals""",075215B/GL3/8,653070,8.48
"stainless steel casing - brass internals""",075215B/GL3/8_S,653070,8.48
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-25 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080216GL3/8_S,653072,19.5
"stainless steel casing - brass internals""",075216GL3/8,653072,15.23
"stainless steel casing - brass internals""",075216GL3/8_S,653072,15.23
"stainless steel casing - brass internals""",075216B/GL3/8,653072,8.48
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-40 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080217GL3/8_S,653074,19.5
"stainless steel casing - brass internals""",075217GL3/8,653074,15.23
"stainless steel casing - brass internals""",075217GL3/8_S,653074,15.23
"stainless steel casing - brass internals""",075217B/GL3/8,653074,8.48
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-60 bar, bottom connection 3/8"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080218GL3/8_S,653075,19.5
"stainless steel casing - brass internals""",075218GL3/8_S,653075,15.23
"stainless steel casing - brass internals""",075218B/GL3/8,653075,8.48
"stainless steel casing - brass internals""",075218B/GL3/8_S,653075,8.48
"(alt. 213.50.063)""",063205A,653101,10.13
"(alt. 213.53.063)""",63205,653101,9
"Compound gauge 63 mm. rimless (A), range -1/+1.5 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063205B,653101,3.98
"MANODRUCK compound gauge 80 mm. rimless (A), range -1/+1.5 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080205GL1/2_S,653102,19.88
"stainless steel casing - brass internals""",075205GL1/2,653102,15.23
"stainless steel casing - brass internals""",075205GL1/2_S,653102,15.23
"stainless steel casing - brass internals""",075205B/GL1/2,653102,8.85
"stainless steel casing - brass internals""",075205B/GL1/2_S,653102,8.85
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+1.5 bar - Cl. 1.0, bottom connection 1/2""BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100205GL,653103,22.5
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+1.5 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100205GL+,653103,15.75
"Compound gauge 100 mm. rimless (A), range -1/+1.5 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100205B/GL,653103,9.06
"(alt. 213.50.063)""",063204A,653104,10.13
"(alt. 213.53.063)""",63204,653104,9
"Compound gauge 63 mm. rimless (A), range -1/+3 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063204B,653104,3.98
"MANODRUCK compound gauge 80 mm. rimless (A), range -1/+3 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080204GL1/2_S,653105,19.88
"stainless steel casing - brass internals""",075204GL1/2,653105,15.23
"stainless steel casing - brass internals""",075204GL1/2_S,653105,15.23
"stainless steel casing - brass internals""",075204B/GL1/2,653105,8.85
"stainless steel casing - brass internals""",075204B/GL1/2_S,653105,8.85
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+3 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100204GL,653106,22.5
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+3 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100204GL+,653106,15.75
"stainless steel casing - brass internals""",100204GL+_S,653106,15.75
" - stainless steel casing, brass internals""",100204B/GL,653106,9.06
"(alt. 213.50.063)""",063203A,653107,10.13
"(alt. 213.53.063)""",63203,653107,9
"Compound gauge 63 mm. rimless (A), range -1/+5 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063203B,653107,3.98
"MANODRUCK compound gauge 80 mm. rimless (A), range -1/+5 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080203GL1/2_S,653108,19.88
"stainless steel casing - brass internals""",075203GL1/2,653108,15.23
"stainless steel casing - brass internals""",075203GL1/2_S,653108,15.23
"stainless steel casing - brass internals""",075203B/GL1/2,653108,8.85
"stainless steel casing - brass internals""",075203B/GL1/2_S,653108,8.85
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+5 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100203GL,653109,22.5
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+5 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100203GL+,653109,15.75
"Compound gauge 100 mm. rimless (A), range -1/+5 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100203B/GL,653109,9.06
"(alt. 213.50.063)""",063202A,653110,10.13
"(alt. 213.53.063)""",63202,653110,9
"Compound gauge 63 mm. rimless (A), range -1/+9 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063202B,653110,3.98
"MANODRUCK compound gauge 80 mm. rimless (A), range -1/+9 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080202GL1/2_S,653111,19.88
"stainless steel casing - brass internals""",075202GL1/2,653111,15.23
"stainless steel casing - brass internals""",075202GL1/2_S,653111,15.23
"stainless steel casing - brass internals""",075202B/GL1/2,653111,8.85
"stainless steel casing - brass internals""",075202B/GL1/2_S,653111,8.85
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+9 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100202GL,653112,22.5
"MANODRUCK compound gauge 100 mm. rimless (A), range -1/+9 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100202GL+,653112,15.75
"Compound gauge 100 mm. rimless (A), range -1/+9 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100202B/GL,653112,9.06
"(alt. 213.50.063)""",063212A,653113,10.13
"(alt. 213.53.063)""",63212,653113,9
"Pressure gauge 63 mm. rimless (A), range 0-4 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063212B,653113,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-4 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080212GL1/2_S,653114,19.88
"stainless steel casing - brass internals""",075212GL1/2,653114,15.23
"stainless steel casing - brass internals""",075212GL1/2_S,653114,15.23
"stainless steel casing - brass internals""",075212B/GL1/2,653114,8.85
"stainless steel casing - brass internals""",075212B/GL1/2_S,653114,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-4 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100212GL,653115,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-4 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100212GL+,653115,15.75
"stainless steel casing, brass internals""",100212B/GL,653115,9.06
"(alt. 213.50.063)""",063213A,653116,10.13
"(alt. 213.53.063)""",63213,653116,9
"Pressure gauge 63 mm. rimless (A), range 0-6 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063213B,653116,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-6 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080213GL1/2_S,653117,19.88
"stainless steel casing - brass internals""",075213GL1/2,653117,15.23
"stainless steel casing - brass internals""",075213GL1/2_S,653117,15.23
"stainless steel casing - brass internals""",075213B/GL1/2,653117,8.85
"stainless steel casing - brass internals""",075213B/GL1/2_S,653117,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-6 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100213GL,653118,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-6 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100213GL+,653118,15.75
"Pressure gauge 100 mm. rimless (A), range 0-6 bar - Cl. 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100213B/GL,653118,9.06
"(alt. 213.50.063)""",063214A,653119,10.13
"(alt. 213.53.063)""",63214,653119,9
"Pressure gauge 63 mm. rimless (A), range 0-10 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063214B,653119,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-10 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080214GL1/2_S,653120,19.88
"stainless steel casing - brass internals""",075214GL1/2,653120,15.23
"stainless steel casing - brass internals""",075214GL1/2_S,653120,15.23
"stainless steel casing - brass internals""",075214B/GL1/2,653120,8.85
"stainless steel casing - brass internals""",075214B/GL1/2_S,653120,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-10 bar - Cl 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100214GL,653121,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-10 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100214GL+,653121,15.75
"stainless steel casing - brass internals""",100214GL+_S,653121,15.75
"Pressure gauge 100 mm. rimless (A), range 0-10 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100214B/GL,653121,9.06
"(alt. 213.50.063)""",063215A,653122,10.13
"(alt. 213.53.063)""",63215,653122,9
"Pressure gauge 63 mm. rimless (A), range 0-16 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063215B,653122,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-16 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080215GL1/2_S,653123,19.88
"stainless steel casing - brass internals""",075215GL1/2,653123,15.23
"stainless steel casing - brass internals""",075215GL1/2_S,653123,15.23
"stainless steel casing - brass internals""",075215B/GL1/2,653123,8.85
"stainless steel casing - brass internals""",075215B/GL1/2_S,653123,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-16 bar - Cl 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100215GL,653124,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-16 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100215GL+,653124,15.75
"Pressure gauge 100 mm. rimless (A), range 0-16 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100215B/GL,653124,9.06
"(alt. 213.50.063)""",063216A,653125,10.13
"(alt. 213.53.063)""",63216,653125,9
"Pressure gauge 63 mm. rimless (A), range 0-25 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063216B,653125,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-25 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080216GL1/2_S,653126,19.88
"stainless steel casing - brass internals""",075216GL1/2,653126,15.23
"stainless steel casing - brass internals""",075216GL1/2_S,653126,15.23
"stainless steel casing - brass internals""",075216B/GL1/2,653126,8.85
"stainless steel casing - brass internals""",075216B/GL1/2_S,653126,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-25 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100216GL,653127,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-25 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100216GL+,653127,15.75
"Pressure gauge 100 mm. rimless (A), range 0-25 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100216B/GL,653127,9.06
"(alt. 213.50.063)""",063217A,653128,10.13
"(alt. 213.53.063)""",63217,653128,9
"Pressure gauge 63 mm. rimless (A), range 0-40 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063217B,653128,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-40 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080217GL1/2_S,653129,19.88
"stainless steel casing - brass internals""",075217GL1/2,653129,15.23
"stainless steel casing - brass internals""",075217GL1/2_S,653129,15.23
"stainless steel casing - brass internals""",075217B/GL1/2,653129,8.85
"stainless steel casing - brass internals""",075217B/GL1/2_S,653129,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-40 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100217GL,653130,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-40 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100217GL+,653130,15.75
"Pressure gauge 100 mm. rimless (A), range 0-40 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100217B/GL,653130,9.06
"(alt. 213.50.063)""",063218A,653131,10.13
"(alt. 213.53.063)""",63218,653131,9
"Pressure gauge 63 mm. rimless (A), range 0-60 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063218B,653131,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-60 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080218GL1/2_S,653132,19.88
"stainless steel casing - brass internals""",075218GL1/2_S,653132,15.23
"stainless steel casing - brass internals""",075218B/GL1/2,653132,8.85
"stainless steel casing - brass internals""",075218B/GL1/2_S,653132,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-60 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100218GL,653133,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-60 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100218GL+,653133,15.75
"Pressure gauge 100 mm. rimless (A), range 0-60 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100218B/GL,653133,9.06
"(alt. 213.50.063)""",063219A,653134,10.13
"(alt. 213.53.063)""",63219,653134,9
"Pressure gauge 63 mm. rimless (A), range 0-100 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063219B,653134,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-100 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080219GL1/2_S,653135,19.88
"stainless steel casing - brass internals""",075219GL1/2_S,653135,15.23
"stainless steel casing - brass internals""",075219B/GL1/2,653135,8.85
"stainless steel casing - brass internals""",075219B/GL1/2_S,653135,8.85
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-100 bar - Cl. 1.0, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 213.53.100)",100219GL,653136,22.5
"MANODRUCK pressure gauge 100 mm. rimless (A), range 0-100 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled stainless steel casing - brass internals (Alt. 113.53.100)",100219GL+,653136,15.75
"Pressure gauge 100 mm. rimless (A), range 0-100 bar - Cl 1.6, bottom connection 1/2"" BSP glycerine filled - stainless steel casing, brass internals",100219B/GL,653136,9.06
"(alt. 213.50.063)""",063220A,653137,10.13
"(alt. 213.53.063)""",63220,653137,9
"Pressure gauge 63 mm. rimless (A), range 0-160 bar, bottom connection 1/4"" BSP glycerine filled - stainless steel casing, brass internals",063220B,653137,3.98
"MANODRUCK pressure gauge 80 mm. rimless (A), range 0-160 bar, bottom connection 1/2"" BSP stainless steel casing - brass internals (alt. 113.53.080)",080220GL1/2_S,653138,19.88
